,pickup_latlon,dropoff_latlon,trips_per_day,trip_distance_kms
96,"(41.891971508, -87.612945414)","(41.880994471, -87.632746489)",6,3.1519999999999997
97,"(41.96581197, -87.655878786)","(41.944226601, -87.655998182)",6,0.0
98,"(41.877406123, -87.621971652)","(41.859349715, -87.617358006)",10,3.136
99,"(41.870607372, -87.622172937)","(41.880994471, -87.632746489)",6,1.4720000000000002
100,"(41.890922026, -87.618868355)","(41.892042136, -87.63186395)",21,0.0
101,"(41.980264315, -87.913624596)","(41.901206994, -87.676355989)",6,28.544
102,"(41.892042136, -87.63186395)","(41.885300022, -87.642808466)",14,0.0
103,"(41.870607372, -87.622172937)","(41.97907082, -87.903039661)",6,1.7600000000000002
104,"(41.899155613, -87.626210532)","(41.89503345, -87.619710672)",26,0.8
105,"(41.892507781, -87.626214906)","(41.890922026, -87.618868355)",21,0.464
106,"(41.859349715, -87.617358006)","(41.877406123, -87.621971652)",8,2.5120000000000005
107,"(41.97907082, -87.903039661)","(41.849246754, -87.624135298)",6,34.111999999999995
108,"(41.944226601, -87.655998182)","(41.878865584, -87.625192142)",5,0.0
109,"(41.97907082, -87.903039661)","(41.885300022, -87.642808466)",5,28.0
110,"(41.97907082, -87.903039661)","(41.879255084, -87.642648998)",5,27.952
111,"(41.880994471, -87.632746489)","(41.900265687, -87.63210922)",5,2.72
112,"(41.879255084, -87.642648998)","(41.899155613, -87.626210532)",9,3.04
113,"(41.874005383, -87.66351755)","(41.944226601, -87.655998182)",5,10.88
114,"(41.849246754, -87.624135298)","(41.97907082, -87.903039661)",5,31.04
115,"(41.874005383, -87.66351755)","(41.878865584, -87.625192142)",5,0.0
116,"(41.885300022, -87.642808466)","(41.88528132, -87.6572332)",5,1.6
117,"(41.859349715, -87.617358006)","(41.870607372, -87.622172937)",5,1.6
118,"(41.879255084, -87.642648998)","(41.89321636, -87.63784421)",5,2.4000000000000004
119,"(41.859349715, -87.617358006)","(41.892507781, -87.626214906)",8,4.64
120,"(41.980264315, -87.913624596)","(41.92276062, -87.699155343)",5,21.76
121,"(41.877406123, -87.621971652)","(41.892507781, -87.626214906)",8,1.36
122,"(41.877406123, -87.621971652)","(41.97907082, -87.903039661)",5,29.44
123,"(41.890922026, -87.618868355)","(41.899155613, -87.626210532)",22,0.96
124,"(41.898331794, -87.620762865)","(41.97907082, -87.903039661)",16,28.32
125,"(41.892507781, -87.626214906)","(41.892042136, -87.63186395)",13,1.52
126,"(41.980264315, -87.913624596)","(41.947791586, -87.683834942)",5,19.680000000000003
127,"(41.885300022, -87.642808466)","(41.892507781, -87.626214906)",9,0.0
128,"(41.89503345, -87.619710672)","(41.885300022, -87.642808466)",12,3.2
129,"(41.922686284, -87.649488729)","(41.878865584, -87.625192142)",5,4.096
130,"(41.885300022, -87.642808466)","(41.890922026, -87.618868355)",10,2.4000000000000004
131,"(41.874005383, -87.66351755)","(41.922686284, -87.649488729)",5,5.920000000000001
132,"(41.890922026, -87.618868355)","(41.89321636, -87.63784421)",9,1.4400000000000002
133,"(41.88528132, -87.6572332)","(41.880994471, -87.632746489)",5,1.4240000000000002
134,"(41.885300022, -87.642808466)","(41.97907082, -87.903039661)",5,1.6
135,"(41.870607372, -87.622172937)","(41.859349715, -87.617358006)",5,0.8
136,"(41.890922026, -87.618868355)","(41.859349715, -87.617358006)",8,4.64
137,"(41.879255084, -87.642648998)","(41.885300022, -87.642808466)",5,1.7600000000000002
138,"(41.899602111, -87.633308037)","(41.92276062, -87.699155343)",4,6.192
139,"(41.97907082, -87.903039661)","(41.88528132, -87.6572332)",4,28.160000000000004
140,"(41.899155613, -87.626210532)","(41.89321636, -87.63784421)",7,2.128
141,"(41.879255084, -87.642648998)","(41.870607372, -87.622172937)",4,2.1919999999999997
142,"(41.879255084, -87.642648998)","(41.859349715, -87.617358006)",4,3.68
143,"(41.890922026, -87.618868355)","(41.877406123, -87.621971652)",9,1.408
144,"(41.89321636, -87.63784421)","(41.879255084, -87.642648998)",4,0.0
145,"(41.901206994, -87.676355989)","(41.899602111, -87.633308037)",4,3.04
146,"(41.980264315, -87.913624596)","(41.899602111, -87.633308037)",4,25.44
147,"(41.878865584, -87.625192142)","(41.794090253, -87.592310855)",4,11.52
148,"(41.859349715, -87.617358006)","(41.879255084, -87.642648998)",4,3.12
149,"(41.907520075, -87.6266589)","(41.89503345, -87.619710672)",6,1.7440000000000002
150,"(41.859349715, -87.617358006)","(41.890922026, -87.618868355)",7,4.272
151,"(41.899602111, -87.633308037)","(41.96581197, -87.655878786)",4,8.368
152,"(41.892507781, -87.626214906)","(41.88528132, -87.6572332)",7,2.5600000000000005
153,"(41.884987192, -87.620992913)","(41.870607372, -87.622172937)",4,1.12
154,"(41.891971508, -87.612945414)","(41.892507781, -87.626214906)",6,0.0
155,"(41.849246754, -87.624135298)","(41.884987192, -87.620992913)",4,3.5200000000000005
156,"(41.89321636, -87.63784421)","(41.97907082, -87.903039661)",4,26.72
157,"(41.892507781, -87.626214906)","(41.891971508, -87.612945414)",4,0.0
158,"(41.944226601, -87.655998182)","(41.96581197, -87.655878786)",4,1.568
159,"(41.880994471, -87.632746489)","(41.904935302, -87.649907226)",4,3.216
160,"(41.785998518, -87.750934289)","(41.877406123, -87.621971652)",4,19.040000000000006
161,"(41.878865584, -87.625192142)","(41.92276062, -87.699155343)",4,8.8
162,"(41.885300022, -87.642808466)","(41.877406123, -87.621971652)",4,0.0
163,"(41.9867118, -87.663416405)","(41.96581197, -87.655878786)",4,2.096
164,"(41.880994471, -87.632746489)","(41.87101588, -87.631406525)",4,0.0
165,"(41.785998518, -87.750934289)","(41.859349715, -87.617358006)",4,15.04
166,"(41.96581197, -87.655878786)","(41.9867118, -87.663416405)",4,2.8800000000000003
167,"(41.878865584, -87.625192142)","(41.835117986, -87.618677767)",3,5.6000000000000005
168,"(41.880994471, -87.632746489)","(41.870415, -87.675085621)",3,4.176
169,"(41.877406123, -87.621971652)","(41.885300022, -87.642808466)",3,0.0
170,"(41.899602111, -87.633308037)","(41.794090253, -87.592310855)",3,13.36
171,"(41.89321636, -87.63784421)","(41.892507781, -87.626214906)",7,0.0
172,"(41.879255084, -87.642648998)","(41.891971508, -87.612945414)",3,3.7760000000000002
173,"(41.892507781, -87.626214906)","(41.907520075, -87.6266589)",3,0.0
174,"(41.899155613, -87.626210532)","(41.877406123, -87.621971652)",7,1.92
175,"(41.880994471, -87.632746489)","(41.907520075, -87.6266589)",5,2.8800000000000003
176,"(41.877406123, -87.621971652)","(41.898331794, -87.620762865)",7,2.176
177,"(41.884987192, -87.620992913)","(41.849246754, -87.624135298)",3,4.4
178,"(41.870607372, -87.622172937)","(41.884987192, -87.620992913)",3,2.08
179,"(41.89503345, -87.619710672)","(41.907520075, -87.6266589)",6,2.08
180,"(41.885300022, -87.642808466)","(41.899155613, -87.626210532)",6,3.2
181,"(41.890922026, -87.618868355)","(41.785998518, -87.750934289)",3,20.272
182,"(41.890922026, -87.618868355)","(41.89503345, -87.619710672)",6,0.0
183,"(41.785998518, -87.750934289)","(41.898331794, -87.620762865)",9,20.880000000000006
184,"(41.878865584, -87.625192142)","(41.96581197, -87.655878786)",3,0.6400000000000001
185,"(41.89321636, -87.63784421)","(41.899155613, -87.626210532)",5,1.4400000000000002
186,"(41.859349715, -87.617358006)","(41.785998518, -87.750934289)",3,16.64
187,"(41.898331794, -87.620762865)","(41.899155613, -87.626210532)",3,1.04
188,"(41.907520075, -87.6266589)","(41.880994471, -87.632746489)",3,2.8800000000000003
189,"(41.980264315, -87.913624596)","(41.9867118, -87.663416405)",3,0.0
190,"(41.89321636, -87.63784421)","(41.890922026, -87.618868355)",6,0.0
191,"(41.785998518, -87.750934289)","(41.870607372, -87.622172937)",3,26.656
192,"(41.891971508, -87.612945414)","(41.877406123, -87.621971652)",3,2.8800000000000003
193,"(41.877406123, -87.621971652)","(41.891971508, -87.612945414)",3,2.24
194,"(41.900265687, -87.63210922)","(41.880994471, -87.632746489)",3,0.0
195,"(41.980264315, -87.913624596)","(41.96581197, -87.655878786)",3,21.92
196,"(41.891971508, -87.612945414)","(41.898331794, -87.620762865)",8,0.8640000000000001
197,"(41.9867118, -87.663416405)","(41.899602111, -87.633308037)",3,9.568
198,"(41.89321636, -87.63784421)","(41.885300022, -87.642808466)",3,0.0
199,"(41.885300022, -87.642808466)","(41.89321636, -87.63784421)",3,0.0
200,"(41.884987192, -87.620992913)","(41.907520075, -87.6266589)",2,2.4000000000000004
201,"(41.885300022, -87.642808466)","(41.879255084, -87.642648998)",2,0.96
202,"(41.97907082, -87.903039661)","(41.907520075, -87.6266589)",2,26.416000000000004
203,"(41.890922026, -87.618868355)","(41.891971508, -87.612945414)",4,3.568
